apple_name,context,juice_style,cold_hardiness_(usda),summer_average_maximum_temperatures,country_of_origin,gardening_skill,self-fertility,pollination_group,uses,picking_season,cropping,keeping_(of_fruit),pollinating_others,ploidy,vigour,precocity,bearing_regularity,fruit_bearing,general_resistance,fireblight,scab,period_of_origin,fruit_color,fruit_size,canker,mildew,cooking_result,juice_color,fruit_persistence,cedar_apple_rust,bitter_pit,awards,organic_culture,chill_requirement,treetype
Amere de Berthencourt cider apple tree,Fill in the form below and we will notify you when Amere de Berthencourt cider apple tree is back in stock.,Bittersweet (cider),"(5) -20F / -29C, (6) -10F / -23C, (7) 0F / -18C, (8) 10F / -12C",Cool ( 20-24C / 68-75F),France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apple Cider tree
Bedan des Parts cider apple tree,"Malus domestica 'Bedan des Parts'
Bedan des Parts is a traditional French hard-cider variety, widely-grown in the cider-producing region of Normandy. It produces a good quality bittersweet juice, usually blended with other varieties.
The apples are typically harvested towards the end of November, when the skin has turned from yellow-green to golden-orange.
Fill in the form below and we will notify you when Bedan des Parts cider apple tree is back in stock.
In traditional French orchards production on mature trees will be in the range 30-35 tonnes per hectare, which is above average for French cider varieties.
Bedan flowers very late - towards the end of May or early June. This makes it a good choice for areas prone to late frosts, but you will need other late-blooming apple varieties nearby to help with pollination.
Bedan is regarded as susceptible to fireblight and scab in French orchards. However the mild temperate climate of north-western France is quite different to the continental climate of much of the USA, where it appears to have some resistance to fireblight.
Advice on fruit tree pollination.
The origins of this variety are unknown, but it has been grown since the mid-19th century.",Bittersweet (cider),"(5) -20F / -29C, (6) -10F / -23C, (7) 0F / -18C, (8) 10F / -12C, (9) 20F / -7C, (10) 30F / -1C",Cool ( 20-24C / 68-75F),France,Average,Not self-fertile,6.0,Hard cider,Very late,Heavy,1-2 months,Average,Diploid,Average vigour,Precocious,Regular,Spur-bearer,Average,Some resistance,Very susceptible,1850 - 1899,"Green / Yellow, Orange",Small,,,,,,,,,,,Apple Cider tree
Binet Rouge cider apple tree,"Binet Rouge is a traditional small French hard cider apple. It is one of the varieties authorised for use in the production of cider classified in the ""appellation d'origine controlee"" of the Pays Auge, in the region of Normandy.
It is not the easiest of varieties to grow, but it produces a very high quality bittersweet juice.
Fill in the form below and we will notify you when Binet Rouge cider apple tree is back in stock.
Binet Rouge is a weak-growing but relatively heavy-cropping variety, and well-known as a biennial bearer. It is important to prevent it setting too much fruit in the ""on"" year.
In traditional French orchards production on mature trees will be in the range 20-30 tonnes per hectare, which is slightly below the average for French cider varieties.
Binet Rouge flowers over a long period and is a useful pollinator of other varieties.
Binet Rouge is regarded as susceptible to fireblight,mildew and scab in French orchards, and resistant to canker - but the mild temperate climate of north-western France is quite different to the continental climate of much of the USA.
Advice on fruit tree pollination.",Bittersweet (cider),(5) -20F / -29C,Cool ( 20-24C / 68-75F),France,Experienced,Not self-fertile,4.0,Hard cider,Very late,Heavy,2-3 weeks,Good,Diploid,Weak growing,Precocious,Biennial tendency,Spur-bearer,Average,Very susceptible,Some susceptibility,,,Small,Very resistant,Very susceptible,,,,,,,,,Apple Cider tree
Bramley's Seedling apple tree,"Bramley's Seedling is an outstanding English ""cooker"", and an essential variety for anyone interested in cooking with apples.
The reason for its versatility in the kitchen is its very high acid content, which is far higher than most traditional American cooking apples. As a result it readily cooks down to a stiff but light apple puree, which is regarded as a key requirement in English apple cookery. When cooked it has an excellent tangy sharp flavor which few other apples can match.
The copious juice also makes Bramley's Seedling valuable for juicing.  In English cider production it is used as a ""sharp"", to increase the acidity of cider blends.
Bramley's Seedling trees are well-known for being long-lived. The first tree was grown from a pip in a garden in Nottinghamshire, England, in 1809 - and amazingly this tree still survives.
Fill in the form below and we will notify you when Bramley's Seedling apple tree is back in stock.
Bramley's Seedling is a very vigorous triploid variety - it has three sets of chromosomes rather than the more usual two. Its triploid nature can be seen in the strong dark-coloured leaves, thick branches, and large apples. Bramley's Seedling is quite easy to grow, its great vigour and natural disease resistance means it usually throws off problems fairly easily.
As a triploid variety, Bramley's Seedling is not able to pollinate other apple varieties, but ironically it has attractive and prolific pink-flushed blossom. The fruit ripens late in the season, and stores very well.
Bramley's Seedling is one of the best English apples for growing in North America. Although it thrives in the cool temperate climate of an English summer, it is just as happy in hotter continental climates.
Advice on fruit tree pollination.
Bramley's Seedling was was raised from a pip by a young girl, Mary Ann Brailsford, near Nottingham, England, in 1809. The house, with the mature tree in the garden, was later sold to a Matthew Bramley who allowed cuttings to be propagated as long as his name was used. The original tree still survives - and can be seen in a video made by the BBC in 2011 (note the typical English summer weather!).
The new variety was quickly recognised as an outstanding cooking apple and by the end of the Victorian era it was widely planted in England and Northern Ireland, becoming synonymous with English apple cookery. However for the next century it remained little-known outside the UK, since European and North American growers had long preferred dual-purpose apples which could be both eaten fresh and cooked. Latterly with a resurgence in interest in apple cookery it has become well-known amongst North American apple enthusiasts and, 200 years after its birth, this remarkable ""cooker"" is increasingly recognized as one of the world's great apples varieties.",Sharper,"(4) -30F / -34C, (5) -20F / -29C, (6) -10F / -23C, (7) 0F / -18C, (8) 10F / -12C, (9) 20F / -7C, (10) 30F / -1C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F), Hot (>30C / 86F), Cold (< 20C / 67F)",United Kingdom,Average,Not self-fertile,3.0,"Culinary, Juice, Hard cider, Traditional cooker",Late,Heavy,3 months or more,Poor,Triploid,"Slightly large, Very vigorous",Precocious,Regular,Partial tip-bearer,,Some resistance,Very resistant,1800 - 1849,Green / Red,Large,,Some resistance,Puree,Pale yellow,Normal ripening,Some resistance,Some susceptibility,RHS Award of Garden Merit,,,Apple Cider tree
Bramtot cider apple tree,Fill in the form below and we will notify you when Bramtot cider apple tree is back in stock.,Bittersweet (cider),"(6) -10F / -23C, (7) 0F / -18C, (8) 10F / -12C, (9) 20F / -7C",Cool ( 20-24C / 68-75F),France,,,,Hard cider,Late,,,,,,,,,,,,1850 - 1899,,,,,,,,,,,,,Apple Cider tree
Brown Snout cider apple tree,"Brown Snout gets its name from the brown surround of the base of the apples, which is particularly prominent when the fruitlets are still developing.
It is a traditional English hard-cider variety, producing a mild bittersweet juice.
Fill in the form below and we will notify you when Brown Snout cider apple tree is back in stock.",Bittersweet (cider),(5) -20F / -29C,Cool ( 20-24C / 68-75F),United Kingdom,Average,Not self-fertile,6.0,Hard cider,Late,Good,2-3 weeks,Average,Diploid,Average vigour,,Biennial tendency,Spur-bearer,Average,Very susceptible,,1800 - 1849,"Green - light, Russet",,,,,,Normal ripening,,,,,,Apple Cider tree
Brown's Apple cider apple tree,"Brown's Apple is a widely-grown traditional English cider apple variety producing a sharp juice. It is thought to originate from the county of Devon in the early 20th century.
Fill in the form below and we will notify you when Brown's Apple cider apple tree is back in stock.",Sharp (cider),(4) -30F / -34C,Cool ( 20-24C / 68-75F),United Kingdom,Average,Not self-fertile,5.0,Hard cider,Late,Heavy,2-3 weeks,Average,Diploid,Vigorous,Precocious,Biennial tendency,Spur-bearer,Good,Some susceptibility,Very resistant,1900 - 1949,Orange / Red,Average,,,,,Fruit drops when ripe,,,,,,Apple Cider tree
Bulmers Norman cider apple tree,"H.P. Bulmer is a long-established English cider manufacturer. From traditional beginnings in the 19th century it is now the largest cider brand in the UK. The company played an active role in the development of English cider, including investing in orchards, production techniques and different varieties. Bulmers Norman is one of their ""in-house"" varieties, although as the name suggests it almost certainly originates from the region of Normandy in France.
Bulmers Norman produces a bittersweet juice.
Fill in the form below and we will notify you when Bulmers Norman cider apple tree is back in stock.
Bulmers Norman is more cold-hardy than many European cider apple varieties. The main horticultural difficulty is its tendency to become biennial - this can be alleviated by ensuring it is not allowed to set too heavy a crop.
Bulmers Norman is a triploid variety, and produces a large and vigorous tree.
Advice on fruit tree pollination.",Bittersweet (cider),(3) -40F / -40C,Cool ( 20-24C / 68-75F),United Kingdom,Experienced,Not self-fertile,3.0,Hard cider,Late,Heavy,2-3 weeks,Poor,Triploid,Vigorous,,Biennial tendency,,Average,,Very susceptible,1900 - 1949,Green - light,Small,,,,,Normal ripening,,,,,,Apple Cider tree
Campfield cider apple tree,"Malus domestica 'Campfield'
Campfield is an antique cold-hardy cider apple variety, which produces a bittersweet juice.
It is considered the ideal partner for Harrison in cider blends.
Fill in the form below and we will notify you when Campfield cider apple tree is back in stock.
Campfield flowers in the early / mid-season so most other early or mid-bloom apples will pollinate it.
Advice on fruit tree pollination.
The origins of Campfield are not known, it probably arose in the eastern states in the late 18th century.",Bittersweet (cider),"(4) -30F / -34C, (5) -20F / -29C, (6) -10F / -23C, (7) 0F / -18C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F), Cold (< 20C / 67F)",United States,Average,Not self-fertile,3.0,Hard cider,Late,Good,1-2 months,Average,Diploid,Slightly large,,Regular,Spur-bearer,Average,,,1800 - 1849,,Average,,,,,,,,,,,Apple Cider tree
Chisel Jersey cider apple tree,"Chisel Jersey is a traditional English hard cider apple variety, producing a bittersweet juice.
Chisel Jersey is also one of the most cold-hardy of the English hard cider apple varieties, so a good choice for the northern states where winter temperatures fall much lower than is usual in England.
Fill in the form below and we will notify you when Chisel Jersey cider apple tree is back in stock.
Chisel Jersey can become somewhat biennial (fruiting in alternate years), if this starts to happen thin fruitlets heavily in the ""on"" year to even things out.
Advice on fruit tree pollination.
Somerset, England - early 19th century.",Bittersweet (cider),(4) -30F / -34C,Cool ( 20-24C / 68-75F),United Kingdom,Average,Not self-fertile,6.0,Hard cider,Very late,Good,,Poor,Diploid,Vigorous,Precocious,Biennial tendency,,,Some susceptibility,,1800 - 1849,Orange / Red,,,Some susceptibility,,,Normal ripening,,,,,,Apple Cider tree
Collaos cider apple tree,"Collaos is a Spanish hard cider apple variety, and a useful choice for European-style cider blends.
Fill in the form below and we will notify you when Collaos cider apple tree is back in stock.",Bittersharp (cider),,"Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",Spain,,,5.0,Hard cider,Very late,Heavy,,,,Average vigour,,Regular,,Good,,Some resistance,,,,Some susceptibility,Some resistance,,,,,,,Suitable,,Apple Cider tree
Dabinett cider apple tree,"A classic English hard cider apple variety, which produces a full bittersweet juice. It is also one of the most reliable and easy cider varieties to grow.
Unlike many hard cider varieties which are best-used for blended ciders, Dabinett can also be used to produce a single-varietal full-bodied medium-dry cider.
Note that Dabinett apples are not suitable for eating fresh, they can only be used for producing juice for hard cider.
Fill in the form below and we will notify you when Dabinett cider apple tree is back in stock.
Dabinett is one of the most reliable cider varieties, with above average disease resistance.
Production is towards the higher end of the scale for cider varieties, e.g. 35-40 tonnes per hectare in north-west France.
Advice on fruit tree pollination.
Dabinett originates from the traditional cider region of Somerset, England in the mid-19th century. It is possibly a seedling of Chisel Jersey.",Bittersweet (cider),(5) -20F / -29C,"Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",United Kingdom,Beginner,Self-fertile,6.0,Hard cider,Very late,Good,,Average,Diploid,Weak growing,Precocious,Regular,Spur-bearer,Good,Some resistance,Some resistance,1850 - 1899,,,,,,,Fruit drops when ripe,,,,,High-chill,Apple Cider tree
Domaine cider apple tree,"Domaine is a traditional French cider apple, producing a bittersharp juice. It is one of the primary varieties registered for cider production in the Pays d'Auge in Normandy.
Fill in the form below and we will notify you when Domaine cider apple tree is back in stock.
Domaine seems to be more resistant to fireblight than some other French varieties. (Fireblight was unknown in French cider orchards until recently, so it is not a disease which traditional French varieties would have been selected as resistant to).
Advice on fruit tree pollination.",Bittersharp (cider),,Cool ( 20-24C / 68-75F),France,,,,Hard cider,Late,Good,,,,Slightly large,,,,,"Very resistant, Some susceptibility",Some susceptibility,,,,,,,,,,,,,,Apple Cider tree
