"tree_name","treetype","context","picking_season","uses","cropping","keeping_(of_fruit)","flavor_style_(apples)","juice_style","juice_color","fruit_persistence","bitter_pit","cooking_result","gardening_skill","self-fertility","pollination_group","pollinating_others","ploidy","vigour","precocity","bearing_regularity","fruit_bearing","organic_culture","general_resistance","scab","mildew","fireblight","cedar_apple_rust","canker","woolly_aphid","cold_hardiness_(usda)","summer_average_maximum_temperatures","chill_requirement","frost_resistance_of_blossom","country_of_origin","period_of_origin","fruit_color","fruit_size","awards"
"Butt perry pear tree","Perry tree","Fill in the form below and we will notify you when Butt perry pear tree is back in stock.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gin perry pear tree","Perry tree","Pyrus communis 'Gin'
Gin is an heirloom English perry pear variety from the traditional perry-growing area of Gloucestershire.
It can be used to produce a high quality perry, often with a floral note.
Fill in the form below and we will notify you when Gin perry pear tree is back in stock.
Gin has reasonable resistance to scab and canker.
Advice on fruit tree pollination.","Very late","Hard cider","Good","1-2 months",,,,,,,"Average","Not self-fertile",3,"Average","Diploid","Slightly large",,"Biennial tendency","Spur-bearer",,"Average","Some resistance",,,,"Some resistance",,"(5) -20F / -29C, (6) -10F / -23C, (7) 0F / -18C","Cool ( 20-24C / 68-75F), Cold (< 20C / 67F)",,,"United Kingdom","1800 - 1849",,,
"Akane apple tree","Apple tree","
One of the best early-season apples, Akane is a marriage between the American Jonathan apple and the English Worcester Pearmain. In appearance it most closely resembles the Worcester Pearmain. For an early apple variety it has an unusually good balanced flavor, reflecting the influence of the high quality Jonathan.
Akane ripens late August - early September. Like most early varieties the apples do not keep that long, however they hang on the tree rather than falling and cropping can therefore take place over a number of weeks. For the best flavor leave to ripen fully. Akane can also be used for summer apple cookery, slices will keep their shape when cooked.
We do not produce that many Akane trees, but if we are out of stock, try one of its close relatives, Sansa.
Fill in the form below and we will notify you when Akane apple tree is back in stock.
Akane is not a heavy cropper, but it is generally reliable. It is quite precocious and it comes into bearing on the more dwarf rootstocks after 2-3 years.
Fruit size can be small - it is a good idea to thin the fruitlets in late spring to encourage fewer / larger apples. This will also improve the flavor.
Akane can be considered a low-chill variety and is therefore suitable for warm climates up to USDA zone 9.
Advice on fruit tree pollination.
Developed at the Morioka Experimental Station, Japan, 1937. A cross between Jonathan and Worcester Pearmain. Sometimes known as Tokyo Rose.","Early","Eating fresh, Culinary, Juice","Good","1 week","Sweet/Sharp",,,"Ripens over a period",,,"Beginner","Not self-fertile",4,"Average","Diploid","Average vigour","Precocious","Regular","Spur-bearer",,"Good","Some resistance","Some resistance","Some resistance","Some resistance",,,"(4) -30F / -34C, (5) -20F / -29C, (6) -10F / -23C, (7) 0F / -18C, (8) 10F / -12C, (9) 20F / -7C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F), Hot (>30C / 86F)","Low-chill",,"Japan","1900 - 1949","Red",,
"Alkmene apple tree","Apple tree","
Alkmene was developed in Germany in the mid-1930s as a cross between Cox's Orange Pippin and Duchess of Oldenburg. The flavor is of good quality, somewhat aromatic, but noticeably more tart and robust than Cox.
It is quite widely grown in England and Europe, where it is regarded as a good alternative to Cox, being easier to grow and more reliable.
Fill in the form below and we will notify you when Alkmene apple tree is back in stock.
Easy to grow, crops heavily, and self-fertile. Alkmene grows in a compact style, making it a good choice for small gardens.
Although Alkmene pre-dates the modern development of disease-resistant apple varieties, it can be considered a disease-resistant variety because it is generally problem free.  This is all the more surprising given that both its parents (and especially Cox's Orange Pippin) are noted for their susceptibility to disease.
Advice on fruit tree pollination.
Cox's Orange Pippin x Duchess of Oldenburg, Germany 1930s. A popular garden apple in the UK, where it is sometimes known as Early Windsor.","Mid","Eating fresh","Heavy","2-3 weeks","Aromatic",,,"Normal ripening",,,"Beginner","Self-fertile",2,,,"Average vigour",,,"Spur-bearer","Suitable","Good","Very resistant",,,,,,"(5) -20F / -29C, (6) -10F / -23C, (7) 0F / -18C, (8) 10F / -12C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F), Cold (< 20C / 67F)",,"Susceptible","Germany","1900 - 1949","Orange / Red",,"RHS Award of Garden Merit"
"Almata apple tree","Apple tree","
Malus domestica 'Almata'
Almata is a red-fleshed apple variety closely related to the red-fleshed crab-apple Malus niedzwetzkyana. The apples are dark red, with a soft red flesh, producing a pink juice. The blossom is dark pink, the leaves are a dull bronze-green color, and even the wood has a pink stained appearance.
The apples ripen early in the season and do not keep.
The flavor is poor, not really suitable for eating fresh.
Despite these poor characteristics Almata has proven quite popular because of its apparent health benefits - the anthocyanin pigments which give the apple its distinctive dark red appeance are rich in anti-oxidants.
Fill in the form below and we will notify you when Almata apple tree is back in stock.
Like many other red-fleshed varieties Almata flowers very early in the blossom season.
Advice on fruit tree pollination.
Almata was developed by Niels Hansen at the South Dakota Experimental Station. His interest in red-fleshed apples was inspired by a research visit to central Russia in 1897 where he met the Russian botanist Niedzwetzky at Almaty in present-day Kazakhstan.  Niedzwetzky was the discoverer of Malus niedzwetzkyana,  a unique red-fleshed crab-apple growing wild in that area.","Early","Culinary, Juice","Light","1 week","Sharper","Sharper","Pale red","Normal ripening",,,"Experienced","Not self-fertile",1,"Poor","Diploid","Slightly large",,"Biennial tendency","Partial tip-bearer",,"Average","Some susceptibility","Some resistance","Some susceptibility",,,,"(5) -20F / -29C, (6) -10F / -23C, (7) 0F / -18C, (8) 10F / -12C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"United States","1900 - 1949","Red - dark","Small",
"Anna apple tree","Apple tree","
Malus domestica 'Anna'
Anna is a good size Golden Delicious-style apple, with a pleasant un-demanding sweet/tart flavor.  The apples ripen very early, often in June, and do not keep. The color varies from pale green all the way to deep red.
It might not be the greatest apple you ever tasted, but Anna is uniquely capable of setting fruit in warm semi-tropical climates, which are normally off-limits for apple production.
Some growers in very warm areas report that Anna will even produce two crops of apples a year, with a second bloom in August.
Fill in the form below and we will notify you when Anna apple tree is back in stock.
Anna is easy to grow and usually very productive.  It is important to thin the fruitlets after the blossom sets to avoid over-production.
It is reported to need less than 300 chill hours (i.e. hours when the temperature falls below about 45F but still above freezing).
Anna appears to be at least partially self-fertile.
Advice on fruit tree pollination.
Anna was developed by Abba Stein at Ein Shemer in Israel in the 1950s, specifically for growing in low-chill climates.","Very early","Eating fresh","Good","1 week","Sweet/Sharp",,,,,,"Average","Partially self-fertile",1,"Average","Diploid","Average vigour","Precocious","Regular","Spur-bearer",,"Average",,,,,,,"(5) -20F / -29C","Warm (25-30C / 76-85F), Hot (>30C / 86F)","Low-chill",,"Israel","1950 - 1999","Green - light, Green / Red, Red","Average",
"Antonovka apple tree","Apple tree","
Antonovka is a popular medium-sized green/yellow cooking apple, ripening in the early-mid season. It originated in 19th century Russia, and was soon being grown in the northern USA on account of its excellent cold-hardiness.
There are several different forms of this variety. Antonovka Kamenichka is a red-flushed form of this variety, discovered in the Ukraine in the 1890s. Polutorafuntovaya is a green-skinned form, often with particularly large fruit size.
Fill in the form below and we will notify you when Antonovka apple tree is back in stock.
Antonovka is a reliable, productive, and generally disease-free apple, and an ideal choice for colder zones.
Advice on fruit tree pollination.
Russian apple varieties such as Antonovka and Duchess of Oldenburg were quickly adopted by settlers in the northern USA on account of their reliability in cold climates. Antonovka also has a long history of being used as a cold-hardy rootstock for other apple varieties.","Early","Eating fresh, Culinary, Dual purpose","Good",,"Sharper",,,,,,"Beginner","Not self-fertile",3,"Average","Diploid","Vigorous",,"Regular","Spur-bearer","Suitable","Good","Some resistance",,"Some resistance",,,,"(3) -40F / -40C, (4) -30F / -34C, (5) -20F / -29C, (6) -10F / -23C, (7) 0F / -18C, (8) 10F / -12C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F), Cold (< 20C / 67F)",,,"Russia","1850 - 1899","Green - light",,
"Arkansas Black apple tree","Apple tree","
Arkansas Black is a distinctive and attractive late-season apple, very much at home in the southern states. In the right conditions Arkansas Black can display very good flavor, although this is not an apple to eat straight from the tree - it really benefits from a month in a cold store.
The intense aromatic flavor makes it a good variety for cooking with, and it has become increasingly popular as an apple for cider production.
Fill in the form below and we will notify you when Arkansas Black apple tree is back in stock.
Arkansas Black has good general disease resistance, and is highly resistant to cedar apple rust. It is a triploid variety and cannot be used to pollinate other apples.
Advice on fruit tree pollination.
Arkansas, 1840s. Probably a seedling of Winesap - the dense flesh and distinctive flavor are reminscent.","Late","Eating fresh, Culinary, Juice, Hard cider","Good","3 months or more","Aromatic",,,"Normal ripening",,"Textured puree","Average","Not self-fertile",3,"Poor","Triploid","Vigorous",,"Regular","Partial tip-bearer",,"Good","Some resistance",,"Some resistance","Very resistant",,,"(5) -20F / -29C, (6) -10F / -23C, (7) 0F / -18C, (8) 10F / -12C, (9) 20F / -7C, (10) 30F / -1C","Warm (25-30C / 76-85F), Hot (>30C / 86F)",,,"United States","1800 - 1849","Crimson",,
"Ashmead's Kernel apple tree","Apple tree","
Ashmeads Kernel is a very old traditional English russet apple. It remains popular for its distinctive pear-like flavor which is quite different from most other apple varieties.
Although often considered as a connoisseur's dessert apple, Ashmead's Kernel is actually quite versatile. It can be used for cooking, or sliced in savoury salads, and it keeps very well in a cold store.
Ashmead's Kernel is also becoming increasingly recognised for its juice, which adds an interesting fruity component to cider and hard cider blends.
Fill in the form below and we will notify you when Ashmead's Kernel apple tree is back in stock.
Ashmead's Kernel is quite easy to grow, and perhaps because it is such an ancient variety, it is relatively disease resistant. It can be a light cropper and this usually caused by poor pollination at blossom time - planting another late-flowering apple tree or crab-apple tree nearby is a good idea.
Ashmead's Kernel has good winter hardiness on the right rootstock. It is one of the best-adapted of the major English apple varieties to US climate zones, including the warmer zones of the south-east and southern California.
Advice on fruit tree pollination.
Originated in England in the 1700s, probably in Gloucestershire.","Late","Eating fresh, Juice","Light","3 months or more","Aromatic","Sweeter, Sweet (cider)",,"Normal ripening","Some susceptibility",,"Average","Not self-fertile",4,"Poor","Triploid","Average vigour",,"Regular","Spur-bearer","Suitable","Good","Some resistance","Some resistance",,"Some resistance",,,"(4) -30F / -34C, (5) -20F / -29C, (6) -10F / -23C, (7) 0F / -18C, (8) 10F / -12C, (9) 20F / -7C, (10) 30F / -1C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F)",,,"United Kingdom","1700 - 1749","Russet",,"RHS Award of Garden Merit"
"Baldwin apple tree","Apple tree","
Baldwin is an antique American apple which is still popular today. William Kendrick in his book the New American Orchardist (1833) states it is ""recommended for extensive cultivation"". The Victorian pomologist Robert Hogg stated Baldwin was ""considered one of the finest apples in the Northern States of America"".
It has the key element of a good apple - a balanced flavor (which is predominantly sweet). Baldwin is crisp to eat fresh, but is primarily an apple for the kitchen, where it keeps its shape when cooked. It also produces a sweet juice, with a fruity flavor.
Fill in the form below and we will notify you when Baldwin apple tree is back in stock.
As you might guess from the size of the apples and the vigor of the tree, Baldwin is a triploid variety - it needs two other (each different) compatible apple varieties nearby to pollinate it (or a single self-fertile variety) and will not pollinate other varieties. It is therefore not a good choice as your only apple tree, but works well as part of a small collection of apple trees.
William Kendrick, cited above, also noted Baldwin's tendency to fall into a cycle of biennial bearing. ""The tree bears enormously every other year, and in the interval, occasionally a moderate crop."" This is easily remedied by heavily thinning in the ""on"" year, and you can also prevent it happening by thinning the fruitlets after the blossom has finished if you notice a particularly heavy fruit set.
Baldwin is an apple for the cooler states, and is most at home in the climate of New England and similar areas,
Advice on fruit tree pollination.
This variety was originally known as the Butters Apple, after a farmer, Mr Butters of Wilmington MA in whose field the original tree was discovered - probably in the 1750s. Mr Butters also called it Woodpecker, on account of the woodpecker birds that frequented the tree.
It is thought to have become known as the Baldwin apple after a Colonel Baldwin, who fought in the Revolutionary War. His troops were resting in a field near Wilmington, MA, and he asked the farmer, Mr Butters, if they could pick apples from a nearby tree. Colonel Baldwin was very taken with the flavor of the apples, and after the war he returned to the farm and asked for cuttings from the tree so that he could grow them himself.","Late","Eating fresh, Culinary, Juice","Good","3 months or more","Sweeter",,,"Normal ripening","Some susceptibility","Keeps shape","Experienced","Not self-fertile",4,"Poor","Triploid","Vigorous","Slow to start bearing","Biennial tendency","Spur-bearer",,"Average","Some susceptibility","Some susceptibility","Some susceptibility","Very resistant",,,"(4) -30F / -34C, (5) -20F / -29C, (6) -10F / -23C, (7) 0F / -18C, (8) 10F / -12C, (9) 20F / -7C, (10) 30F / -1C","Cool ( 20-24C / 68-75F), Warm (25-30C / 76-85F), Hot (>30C / 86F)",,,"United States","1750 - 1799","Orange flush",,
