ID,name,vapage,website,phone,address,region,descr,reglatlong,times,fees,amenities,trails,shipsto
0,12 Ridges Vineyard,https://www.virginiawine.org/wineries/12-ridges-vineyard,www.12ridges.com,4349964252,"24981 Blue Ridge Pkwy, Vesuvius , VA 24483",Shenandoah Valley,"12 Ridges Vineyard is a family-owned, cool climate vineyard located directly on the stunning Blue Ridge Parkway at mile post 25.  At an elevation of 3,300 feet, ​12 Ridges is one of, if not the, highest altitude vineyard in Virginia and its permeable and stony soil low in clay, cooler temperatures, and low humidity offer an extraordinary opportunity for local wine grower, Tim Jordan, to experiment and ply his craft.  The terroir of 12 Ridges has the potential to allow for exceptional traditional method sparkling wines, which will be complemented by offerings of Chardonnay, Riesling, Pinot Gris, and Pinot Noir.  As we wait for our vines to mature and grow, we are offering a portfolio of cool climate wines from around the world. Come visit our Tasting Room and 360 degree hill top to experience panoramic views and exceptional cool climate wines!","(37.9010474, -79.1177746)","['Mon: Closed', 'Tues: Closed', 'Wed: 12:00 PM - 5:00 PM', 'Thurs: 12:00 PM - 5:00 PM', 'Fri: 12:00 PM - 8:00 PM', 'Sat: 11:00 AM - 5:00 PM', 'Sun: 11:00 AM - 5:00 PM', 'Bu: s', 'Child: Friendly', 'Food: Available: Light Fare', 'Group: Tours', 'Pet: Friendly', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Weddings:  ', 'Wine: Shop', 'Shenandoah: Valley Wine Trail']",Tasting Fee: $18,"['Features', 'Bus/RV Parking', 'Child Friendly', 'Food Available', 'Light Fare', 'Group Tours', 'Pet Friendly', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings', 'Wine Shop']","[('Shenandoah Valley Wine Trail', 'https://www.shenandoahvalleywinetrail.com')]",
1,2 Witches Winery and Brewing Co,https://www.virginiawine.org/wineries/2-witches-winery-and-brewing-co,http://www.2witcheswinebrew.com,434-549-2739,"209 Trade Street, Danville, Virginia 24541",Southern Virginia,"New farm winery located in Danville, Virginia along the Dan River.  Tastings and retail sales starting in mid-July 2014. Wine varieties include Cabernet Sauvignon, Petit Verdot, Traminette, Muscat Blanc, Sangria and Strawberry.  Outdoor seating, limited food, and entertainment available.  Check our website for additional information on events.","(36.5857031, -79.4211127)","Friday 5pm - 9pm
Saturday 12pm - 9pm
Sunday 1pm - 6pm
Other days/times by appointment.",Tasting Fee: $5.00,"['Features', 'Food Available', 'Light Fare', 'Group Tours', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings']","[('Southern Virginia Wine Trail', 'https://virginiawine.org')]",
2,50 West Vineyards,https://www.virginiawine.org/wineries/50-west-vineyards,www.50westvineyards.com,(571) 367 4760,"39060 John Mosby Highway, Middleburg, Virginia 20117",Northern Virginia,"50 West Vineyards is a farm vineyard located on Route 50 in Middleburg, Virginia. It was named after the historic Route 50, which spans the entire width of the United States – from Ocean City, Maryland, to Sacramento, California. The tasting room is a converted horse stable that sits high on a bluff offering stunning views of the Bull Run Mountain range. 50 West is rich with history, from being located in Civil War battle area to being an old horse farm. We aim to share that history with you every time you visit.","(38.9811984, -77.6583357)","['Mon: Closed - Closed', 'Tues: Closed - Closed', 'Wed: Closed - Closed', 'Thurs: Closed - Closed', 'Fri: 2:00 PM -  9:00 PM', 'Sat: 12:00 PM -  7:30 PM', 'Sun: 12:00 PM -  7:30 PM', 'Pet: Friendly', 'Loudoun: Wine Trail', 'Tuski: e']",Tasting Fee: 10.00,"['Features', 'Pet Friendly']","[('Loudoun Wine Trail', 'https://www.visitloudoun.org\n'), (""Tuskie's Wine Trail"", 'http://www.tuskies.com/WineTrail/')]","['Alaska', 'California', 'Florida', 'Maryland', 'Minnesota', 'Virginia']"
3,868 Estate Vineyards,https://www.virginiawine.org/wineries/868-estate-vineyards,https://868estatevineyards.com/,(540) 668-7008,"14001 Harpers Ferry Rd., Hillsboro, Virginia 20132",Northern Virginia,Winner of the 2020 Virginia Governor's Cup!,"(39.2311369, -77.739379)","['Mon: Closed', 'Tues: Closed', 'Wed: Closed', 'Thurs: Closed', 'Fri: 11:00 AM - 5:00 PM', 'Sat: 11:00 AM - 5:00 PM', 'Sun: 11:00 AM - 5:00 PM', 'Food: Available: Restaurant', 'Group: Tours', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Weddings:  ', 'Wine: Shop', 'Loudoun: Wine Trail', 'Tuski: e']",Reserve Tasting Fee: add'l $6.00,"['Features', 'Food Available', 'Restaurant', 'Group Tours', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings', 'Wine Shop']","[('Loudoun Wine Trail', 'https://www.visitloudoun.org\n'), (""Tuskie's Wine Trail"", 'http://www.tuskies.com/WineTrail/')]","['Alabama', 'Alaska', 'Arizona', 'California', 'Colorado', 'Florida', 'Georgia', 'Hawaii', 'Idaho', 'Illinois', 'Indiana', 'Iowa', 'Kansas', 'Louisiana', 'Maine', 'Maryland', 'Massachusetts', 'Minnesota', 'Missouri', 'Montana', 'Nebraska', 'Nevada', 'New Hampshire', 'New Mexico', 'New York', 'North Carolina', 'North Dakota', 'Ohio', 'Oregon', 'Pennsylvania', 'South Carolina', 'Tennessee', 'Texas', 'Virginia', 'Washington', 'West Virginia', 'Wisconsin', 'Wyoming']"
4,8 Chains North Winery,https://www.virginiawine.org/wineries/8-chains-north-winery,https://8chainsnorth.com/,571-439-2255,"38593 Daymont Lane, Waterford, Virginia 20197-1038",Northern Virginia,"8 Chains North is a boutique Loudoun County winery located just 8 miles west of Leesburg, Virginia. The winery includes an inviting Tasting Room, production, and a beautiful private event space perfect for weddings—all with stunning vineyard views.","(39.178823, -77.667649)","['Mon: 1:00 PM -  7:00 PM', 'Tues: Closed - Closed', 'Wed: Closed - Closed', 'Thurs: 1:00 PM -  7:00 PM', 'Fri: 1:00 PM -  7:00 PM', 'Sat: 12:00 PM -  7:00 PM', 'Sun: 12:00 PM -  7:00 PM', 'Food: Available: Light Fare', 'Group: Tours', 'Pet: Friendly', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Weddings:  ', 'Wine: Shop', 'Loudoun: Wine Trail', 'Tuski: e']",Tour Fee: 5.00,"['Features', 'Food Available', 'Light Fare', 'Group Tours', 'Pet Friendly', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings', 'Wine Shop']","[('Loudoun Wine Trail', 'https://www.visitloudoun.org\n'), (""Tuskie's Wine Trail"", 'http://www.tuskies.com/WineTrail/')]",['Virginia']
5,Abingdon Vineyards,https://www.virginiawine.org/wineries/abingdon-vineyards,http://www.abingdonvineyards.com,276-623-1255,"20530 Alvarado Rd, Abingdon, Virginia 24211",Blue Ridge,"From Napa to Appalachia... The Gardner Family moved from California to Virginia to build the legacy of Abingdon Vineyards. Come taste the world-class wine and enjoy a picnic on the river! Kids, dogs and kayaks welcome!","(36.6582305, -81.8889087)","['Mon: Closed - Closed', 'Tues: Closed - Closed', 'Wed: 11:00 AM - 6:00 PM', 'Thurs: 11:00 AM - 6:00 PM', 'Fri: 11:00 AM - 6:00 PM', 'Sat: 11:00 AM - 6:00 PM', 'Sun: 11:00 AM - 6:00 PM', 'Bu: s', 'Child: Friendly', 'Food: Available: Light Fare', 'Group: Tours', 'Pet: Friendly', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Weddings:  ', 'Wine: Shop']",Tour Fee: $25.00,"['Features', 'Bus/RV Parking', 'Child Friendly', 'Food Available', 'Light Fare', 'Group Tours', 'Pet Friendly', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings', 'Wine Shop']",,"['Arizona', 'Arkansas', 'California', 'Colorado', 'Florida', 'Hawaii', 'Idaho', 'Illinois', 'Indiana', 'Iowa', 'Kansas', 'Louisiana', 'Maine', 'Maryland', 'Massachusetts', 'Minnesota', 'Montana', 'Nevada', 'New York', 'North Dakota', 'Ohio', 'Oklahoma', 'Oregon', 'Pennsylvania', 'South Dakota', 'Tennessee', 'Texas', 'Vermont', 'Virginia', 'West Virginia', 'Wisconsin', 'Wyoming']"
6,Afton Mountain Vineyards,https://www.virginiawine.org/wineries/afton-mountain-vineyards,http://www.aftonmountainvineyards.com,540-456-8667,"234 Vineyard Lane, Afton, Virginia 22920",Central Virginia,"Afton Mountain Vineyards is one of Virginia's first farm wineries with our oldest vines dating from the late 1970's.  Our focus is on making wines of exceptional quality from our own estate-grown grapes. Our Tasting House is surrounded by vineyards, 360 degree mountain views and sits beside a 13 acre lake.  We grow 11 varieties on 25 acres. ""Grapes don't grow in ugly places""® Come see for yourself!","(38.0096984, -78.8550954)","['Mon: Closed', 'Tues: Closed', 'Wed: Closed', 'Thurs: 11:00 AM - 5:00 PM', 'Fri: 11:00 AM - 5:00 PM', 'Sat: 11:00 AM - 5:00 PM', 'Sun: 11:00 AM - 5:00 PM', 'Child: Friendly', 'Food: Available: Light Fare', 'Overnight: Stay', 'Pet: Friendly', 'Picnic: Area', 'Tasting: Room', 'Wine: Shop', 'Explore: Nelson Wine Trail', 'Monticello: Wine Trail', 'Nelson: 151']",Tour Fee: 15.00 for group tastings,"['Features', 'Child Friendly', 'Food Available', 'Light Fare', 'Overnight Stay', 'Pet Friendly', 'Picnic Area', 'Tasting Room', 'Wine Shop']","[('Explore Nelson Wine Trail', 'http://nelsoncounty.com/visit/wineriesbrewery/'), ('Monticello Wine Trail', 'https://www.monticellowinetrail.com\n'), ('Nelson 151', 'http://nelson151.com/')]","['Maryland', 'North Carolina', 'Pennsylvania', 'South Carolina', 'Texas', 'Virginia']"
7,Albemarle CiderWorks,https://www.virginiawine.org/wineries/albemarle-ciderworks,http://www.albemarleciderworks.com,434-979-1663,"2545 Rural Ridge Lane, North Garden, Virginia 22959",Central Virginia,Albemarle CiderWorks tasting room offers a rotating menu of samples of our premium craft ciders.,"(37.966555, -78.649848)","['Mon: Closed', 'Tues: Closed', 'Wed: 11:00 AM - 5:00 PM', 'Thurs: 11:00 AM - 5:00 PM', 'Fri: 11:00 AM - 5:00 PM', 'Sat: 11:00 AM - 5:00 PM', 'Sun: 11:00 AM - 5:00 PM', 'Bu: s', 'Child: Friendly', 'Food: Available: Light Fare', 'Group: Tours', 'Pet: Friendly', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Weddings:  ', 'Monticello: Wine Trail']",Reserve Tasting Fee: $9.00 / $12.00 (flights),"['Features', 'Bus/RV Parking', 'Child Friendly', 'Food Available', 'Light Fare', 'Group Tours', 'Pet Friendly', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings']","[('Monticello Wine Trail', 'https://www.monticellowinetrail.com\n')]","['Alabama', 'Alaska', 'Arizona', 'Colorado', 'District of Columbia', 'Florida', 'Georgia', 'Hawaii', 'Idaho', 'Illinois', 'Indiana', 'Iowa', 'Kansas', 'Louisiana', 'Maine', 'Maryland', 'Massachusetts', 'Minnesota', 'Missouri', 'Nebraska', 'Nevada', 'New Hampshire', 'New Mexico', 'New York', 'North Carolina', 'North Dakota', 'Ohio', 'Oregon', 'Pennsylvania', 'South Carolina', 'Tennessee', 'Texas', 'Vermont', 'Virginia', 'Washington', 'West Virginia', 'Wisconsin', 'Wyoming']"
8,Altillo Vineyards,https://www.virginiawine.org/wineries/altillo-vineyards,http://www.altillovineyards.com,"434-324-4160 	","620 Level Run Rd., Hurt, VA 24536      ",Southern Virginia,"Formerly Altavista Vineyards, we are a small family-run vineyard and winery, an easy 30 minute drive South from Lynchburg VA, 6.5 miles off of US HWY 29. We specialize in limited production of finely crafted wines. Our vineyard currently produces shiraz, chardonnay, viognier, merlot, cabernet franc, and cabernet sauvignon.  We supplement our own production by purchases of a small amount of high quality grapes from other Virginia growers.","(37.0647391, -79.244212)","['Mon: Closed - Closed', 'Tues: Closed - Closed', 'Wed: Closed - Closed', 'Thurs: Closed - Closed', 'Fri: Closed - Closed', 'Sat: 12:00 PM -  6:00 PM', 'Sun: Closed - Closed', 'Group: Tours', 'Overnight: Stay', 'Pet: Friendly', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Weddings:  ']",Tasting Fee: $10.00 credited toward purchase,"['Features', 'Group Tours', 'Overnight Stay', 'Pet Friendly', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings']",,
9,American Way Country Wines,https://www.virginiawine.org/wineries/american-way-country-wines,http://AMERICANWAYCOUNTRYWINES.COM,434-262-1250,"13750 VA-47, Chase City, VA 23924",Southern Virginia,"WE MAKE FRUIT WINES FROM OUR OWN FARM, INCLUDING BUT NOT LIMITED TO, APPLE, BLACKBERRY, CHERRY, ELDERBERRY, PEAR, PEACH, STRAWBERRY, PLUM, AND PUMPKIN, SOON TO BE ADDED ARE TOMATO, CANTALOUPE. AND RASPBERRY","(36.7942056, -78.3518657)","['Mon: 1:00 PM -  6:00 PM', 'Tues: 1:00 PM -  6:00 PM', 'Wed: 1:00 PM -  6:00 PM', 'Thurs: 1:00 PM -  6:00 PM', 'Fri: 1:00 PM -  6:00 PM', 'Sat: 1:00 PM -  6:00 PM', 'Sun: 1:00 PM -  6:00 PM', 'Food: Available: Light Fare', 'Group: Tours', 'Picnic: Area', 'Private: Parties', 'Tasting: Room', 'Weddings:  ', 'Wine: Shop']",,"['Features', 'Food Available', 'Light Fare', 'Group Tours', 'Picnic Area', 'Private Parties', 'Tasting Room', 'Weddings', 'Wine Shop']",,
