,Common_Name,Family,USDA_hardiness,Known_Hazards,Habitats,Range,Edibility_Rating,Other_Uses,Weed_Potential,Medicinal_Rating,species,Care,ID,URL,common_name,edibility,Uses,Endangered,Invasive,lookslike,picslist,leaf,flower,fruit,twig,bark,form,family,genus,symbol,range,07_Class,08_Subclass,09_Order,10_Family,11_Genus,12_Species,13_Variety,14_Variety,tsn,08_Superorder,15_Variety,16_Variety,17_Variety,18_Variety,19_Variety,01_Species,13_Subspecies,14_Subspecies,01_Variety,15_Subspecies,01_Subspecies,16_Subspecies,17_Subspecies,18_Subspecies
0,Balsam Fir,Pinaceae,3-6,"The oleoresin (Canada balsam) is reported to produce dermatitis when applied as perfume[222, 269]. The foliage has also induced contact dermatitis[269].",Low swampy grounds where it is often the major component of forests[82]. Also found on well-drained hillsides[82].,"North-eastern N. America - Newfoundland to Virginia, west to Alberta, Michigan and Ohio.",(3 of 5),(0 of 5),No,(5 of 5),Abies balsamea,"['Fully Hardy', 'Moist Soil', 'Full shade', 'Semi-shade', 'Full sun']",0,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=119,balsam fir,,Christmas tree,,,"[['Fraser fir', 'factsheet.cfm?ID=95'], ['white fir', 'factsheet.cfm?ID=94'], ['eastern hemlock', 'factsheet.cfm?ID=116'], ['English yew', 'factsheet.cfm?ID=115']]","['../images/Abies balsamea/latin.wav', '../images/Abies balsamea/leaf1.jpg', '../images/Abies balsamea/flower1.jpg', '../images/Abies balsamea/fruit1.jpg', '../images/Abies balsamea/twig1.jpg', '../images/Abies balsamea/bark1.jpg', '../images/Abies balsamea/form1.jpg', '../images/Abies balsamea/map.jpg', '../images/Abies balsamea/map.pdf', '../images/Abies balsamea/wood.jpg']","Flattened needles, 3/4 inch long, blunt or notched at end, may be shorter and sharper pointed on upper branches, shiny dark green above and silvery-blue below.","Species is monoecious; males occur on undersides of leaf axils, purple to yellow-brown; females occur in upper crown, are purple and inconspicuous.","Resinous cones are upright, 2 to 3 1/2 inches long, oblong to cylindrical, green with purple tinge, with bracts shorter than the scales; scales are deciduous with seed dispersal in late summer.","Yellow-green, later turning gray; buds are reddish brown and resin covered; leaf scars are flat and rounded.","Shiny silvery gray-brown, smooth except for numerous, raised resin blisters; largest stems may become a bit scaly.","Balsam fir is a small to medium sized tree reaching 80 feet tall with a very narrow, spire-like crown.",Pinaceae,Abies,ABBA,Abies balsamea is native to North America. Range may be expanded by planting.,Pinopsida,Pinidae,Pinales,Pinaceae,Abies,Abies balsamea,Abies balsamea var. balsamea,Abies balsamea var. phanerolepis,18032.0,,,,,,,,,,,,,,,
1,,,,,,,,,,,Abies fraseri,,1,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=95,Fraser fir,,Christmas tree,y,,"[['balsam fir', 'factsheet.cfm?ID=119'], ['white fir', 'factsheet.cfm?ID=94'], ['eastern hemlock', 'factsheet.cfm?ID=116'], ['English yew', 'factsheet.cfm?ID=115']]","['../images/Abies fraseri/latin.wav', '../images/Abies fraseri/leaf1.jpg', '../images/Abies fraseri/flower1.jpg', '../images/Abies fraseri/fruit1.jpg', '../images/Abies fraseri/twig1.jpg', '../images/Abies fraseri/bark1.jpg', '../images/Abies fraseri/form1.jpg', '../images/Abies fraseri/map.jpg', '../images/Abies fraseri/map.pdf']","Flattened needles, 3/4 inch long, blunt or notched at the end, shiny dark green above and silvery below.","Species is monoecious; males yellow to purple; females in upper crown, inconspicuous, purple.","Resinous cones are upright, 1 1/2 to 2 1/2 inches long, cylindrical, green to purple, with pointed, toothed bracts protruding from the cone scales; scales are deciduous with seed dispersal in fall.","Yellow-green, later turning gray; buds round, reddish brown, resinous; leaf scars are flat and rounded.","Silvery gray-brown, smooth except for resin blisters, largest stems may become a bit scaly.","Fraser fir is a small to medium size tree to 80 feet, with a very narrow, spire-like crown.",Pinaceae,Abies,ABFR,Abies fraseri is native to North America. Range may be expanded by planting.,Pinopsida,Pinidae,Pinales,Pinaceae,Abies,Abies fraseri,,,181829.0,,,,,,,,,,,,,,,
2,,,,,,,,,,,Acer floridanum,,2,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=337,Florida maple,edible,"shade tree, syrup",,,"[['sugar maple', 'factsheet.cfm?ID=2'], ['Norway maple', 'factsheet.cfm?ID=6'], ['red maple', 'factsheet.cfm?ID=1'], ['black maple', 'factsheet.cfm?ID=452']]","['../images/Acer floridanum/latin.wav', '../images/Acer floridanum/leaf1.jpg', '../images/Acer floridanum/fruit1.jpg', '../images/Acer floridanum/twig1.jpg', '../images/Acer floridanum/bark1.jpg', '../images/Acer floridanum/form1.jpg', '../images/Acer floridanum/map.jpg', '../images/Acer floridanum/map.pdf', '../images/Acer floridanum/fall.jpg']","Opposite, simple, orbicular in shape, 1 1/2 to 3 1/2 inches in length and width, entire margin with 3 or 5 somewhat rounded lobes, green above, paler and often fuzzy below.","Yellow-green, small, hanging from a long (1 to 2 inches) stalk in clusters of a few flowers, appearing with the leaves.","Samara, about 3/4 inch long, spreading at about 65 degrees (wider than sugar maple), mature in the mid-summer.","Slender and shiny, reddish brown, terminal buds sharp pointed, brown and fuzzy.","Light gray, with thick irregular curling ridges, becoming plated.","Medium sized tree to 60 feet, elliptical crown.",Aceraceae,Acer,ACFL,Acer floridanum is native to North America. Range may be expanded by planting.,Magnoliopsida,,Sapindales,Sapindaceae,Acer,Acer floridanum,,,183691.0,Rosanae,,,,,,,,,,,,,,
3,,,,,,,,,,,Acer negundo,,3,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=3,Box elder,edible,syrup,,y,"[['poison-ivy', 'factsheet.cfm?ID=128'], ['green ash', 'factsheet.cfm?ID=48'], ['Rocky Mountain maple', 'factsheet.cfm?ID=161']]","['../images/Acer negundo/latin.wav', '../images/Acer negundo/leaf1.jpg', '../images/Acer negundo/flower1.jpg', '../images/Acer negundo/fruit1.jpg', '../images/Acer negundo/twig1.jpg', '../images/Acer negundo/bark1.jpg', '../images/Acer negundo/form1.jpg', '../images/Acer negundo/map.jpg', '../images/Acer negundo/map.pdf', '../images/Acer negundo/fall.jpg']","Opposite, pinnately compound, 3 to 5 leaflets (sometimes 7), 2 to 4 inches long, margin coarsely serrate or somewhat lobed, shape variable but leaflets often resemble a classic maple leaf, light green above and paler below.","Species is dioecious; yellow-green, in drooping racemes; appearing in spring.","Paired V-shaped samaras, 1 to 1 1/2 inches long, in drooping clusters,light tan when ripe in fall, persist throughout winter.","Green to purplish green, moderately stout, leaf scars narrow, meeting in raised points, often covered with a glaucous bloom; buds white and hairy, lateral buds appressed.","Thin, gray to light brown, with shallow interlacing ridges; young bark is generally warty.","Medium sized tree to 60 feet, typically with poor form and multiple trunks; sprouts often occur on bole.",Aceraceae,Acer,ACNE2,Acer negundo is native to North America. Range may be expanded by planting.,Magnoliopsida,,Sapindales,Sapindaceae,Acer,Acer negundo,Acer negundo var. arizonicum,Acer negundo var. californicum,28749.0,Rosanae,Acer negundo var. interius,Acer negundo var. mexicanum,Acer negundo var. negundo,Acer negundo var. texanum,Acer negundo var. violaceum,,,,,,,,,
4,,,,,,,,,,,Acer nigrum,,4,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=452,black maple,edible,"timber, syrup",,,"[['sugar maple', 'factsheet.cfm?ID=2'], ['Florida maple', 'factsheet.cfm?ID=337'], ['Norway maple', 'factsheet.cfm?ID=6'], ['bigleaf maple', 'factsheet.cfm?ID=187']]","['../images/Acer nigrum/latin.wav', '../images/Acer nigrum/leaf1.jpg', '../images/Acer nigrum/flower1.jpg', '../images/Acer nigrum/fruit1.jpg', '../images/Acer nigrum/twig1.jpg', '../images/Acer nigrum/bark1.jpg', '../images/Acer nigrum/form1.jpg', '../images/Acer nigrum/map.jpg', '../images/Acer nigrum/map.pdf', '../images/Acer nigrum/fall.jpg', '../images/Acer nigrum/wood.jpg']","Opposite, simple and palmately veined, 3 to 6 inches long, 3 (occasionally 5) lobed with entire margin, often wilted-looking, large stipules may be present, with pubescence on the underside.","Yellow to green, small, clustered, hanging from a long (1 to 3 inch) stem, appearing with the leaves.","Two-winged horseshoe-shaped samaras about 1 inch long, appearing in clusters, matures in autumn.","Brown, slender to moderate and shiny with lighter lenticels, may be gray pubescent, especially near the terminal buds.","Variable, but generally dark gray-brown to black; older trees may be furrowed with long, thick, irregular ridges or scaly.",Medium to tall tree (to 100 feet) with very dense elliptical crown.,Aceraceae,Acer,ACNI5,Acer nigrum is native to North America. Range may be expanded by planting.,Magnoliopsida,,Sapindales,Sapindaceae,Acer,Acer nigrum,,,182135.0,Rosanae,,,,,,,,,,,,,,
5,,,,,,,,,,,Acer pensylvanicum,,5,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=4,striped maple,,,,,"[['mountain maple', 'factsheet.cfm?ID=354'], ['red maple', 'factsheet.cfm?ID=1']]","['../images/Acer pensylvanicum/latin.wav', '../images/Acer pensylvanicum/leaf1.jpg', '../images/Acer pensylvanicum/flower1.jpg', '../images/Acer pensylvanicum/fruit1.jpg', '../images/Acer pensylvanicum/twig1.jpg', '../images/Acer pensylvanicum/bark1.jpg', '../images/Acer pensylvanicum/form1.jpg', '../images/Acer pensylvanicum/map.jpg', '../images/Acer pensylvanicum/map.pdf', '../images/Acer pensylvanicum/fall.jpg']","Opposite, simple, orbicular, 5 to 8 inches long, 3-lobed (resembles a goose foot), serrated margin; green above and paler below.","Species is dioecious; yellow-green, bellshaped, 1/4 inch long, appear in long, hanging slender clusters in late spring.","Paired, wide-spreading samaras, 3/4 to 1 inch long, in hanging clusters, ripen in late summer and early fall.","Moderately stout, green changing to red or reddish brown, smooth; reddish buds narrowly ovoid, stalked, valvate.","When young, smooth gray-green with prominent white lengthwise stripes, older bark becomes reddish brown.",Small tree or large shrub up to 30 feet tall.,Aceraceae,Acer,ACPE,Acer pensylvanicum is native to North America. Range may be expanded by planting.,Magnoliopsida,,Sapindales,Sapindaceae,Acer,Acer pensylvanicum,,,28754.0,Rosanae,,,,,,,,,,,,,,
6,,,,,,,,,,,Acer platanoides,,6,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=6,Norway maple,,"timber, street tree, bonsai",,y,"[['sugar maple', 'factsheet.cfm?ID=2'], ['black maple', 'factsheet.cfm?ID=452'], ['Florida maple', 'factsheet.cfm?ID=337'], ['Shantung maple', 'factsheet.cfm?ID=849']]","['../images/Acer platanoides/latin.wav', '../images/Acer platanoides/leaf1.jpg', '../images/Acer platanoides/flower1.jpg', '../images/Acer platanoides/fruit1.jpg', '../images/Acer platanoides/twig1.jpg', '../images/Acer platanoides/bark1.jpg', '../images/Acer platanoides/form1.jpg', '../images/Acer platanoides/map.jpg', '../images/Acer platanoides/map.pdf', '../images/Acer platanoides/fall.jpg']","Opposite, simple, palmately-veined, 5 to 7 lobed with long pointed teeth"", dark green above, paler below; exudes milky white sap from the petiole when detached.","Species is dioecious; bright yellow-green in color and somewhat showy, appearing in the spring before the leaves.","Widely divergent 2-winged samaras, 1 1/2 to 2 inches long in clusters, relatively flat seed cavity, mature in late summer and persist into the winter.","Stout, brown with a large, turban-shaped buds that are initially green maturing to purple.","Gray-brown, a bit corky, on older trees shallowly furrowed with long narrow, somewhat interlacing ridges.","Medium sized tree to 80 feet tall, usually with a dense rounded crown.",Aceraceae,Acer,ACPL,,Magnoliopsida,,Sapindales,Sapindaceae,Acer,Acer platanoides,,,28755.0,Rosanae,,,,,,,,,,,,,,
7,,,,,,,,,,,Acer rubrum,,7,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=1,red maple,edible,"syrup, firewood",,,"[['silver maple', 'factsheet.cfm?ID=5'], ['Norway maple', 'factsheet.cfm?ID=6'], ['mapleleaf viburnum', 'factsheet.cfm?ID=91'], ['sugar maple', 'factsheet.cfm?ID=2']]","['../images/Acer rubrum/latin.wav', '../images/Acer rubrum/leaf1.jpg', '../images/Acer rubrum/flower1.jpg', '../images/Acer rubrum/fruit1.jpg', '../images/Acer rubrum/twig1.jpg', '../images/Acer rubrum/bark1.jpg', '../images/Acer rubrum/form1.jpg', '../images/Acer rubrum/map.jpg', '../images/Acer rubrum/map.pdf', '../images/Acer rubrum/fall.jpg', '../images/Acer rubrum/wood.jpg']","Opposite, simple, 3 to 5 palmate lobes with serrated margin, sinuses relatively shallow (but highly variable), 2 to 4 inches long; green above, whitened and sometimes glaucous or hairy beneath.","Attractive but small, occur in hanging clusters, usually bright red but occasionally yellow, appear in early spring, usually before leaves.","Clusters of 1/2 to 3/4 inch long samaras with slighly divergent wings, on long slender stems.","Reddish and lustrous with small lenticels, buds usually blunt, green or reddish (fall and winter) with several loose scales usually present, leaf scars V-shaped, 3 bundle scars, lateral buds slightly stalked, may be collateral buds present.","On young trees, smooth and light gray, with age becomes darker and breaks up into long, fine scaly plates.",Medium sized tree up to 90 feet.,Aceraceae,Acer,ACRU,Acer rubrum is native to North America. Range may be expanded by planting.,Magnoliopsida,,Sapindales,Sapindaceae,Acer,Acer rubrum,Acer rubrum var. drummondii,Acer rubrum var. rubrum,28728.0,Rosanae,Acer rubrum var. trilobum,,,,,,,,,,,,,
8,,,,,,,,,,,Acer saccharinum,,8,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=5,silver maple,edible,"syrup, street tree",,,"[['red maple', 'factsheet.cfm?ID=1'], ['sugar maple', 'factsheet.cfm?ID=2']]","['../images/Acer saccharinum/latin.wav', '../images/Acer saccharinum/leaf1.jpg', '../images/Acer saccharinum/flower1.jpg', '../images/Acer saccharinum/fruit1.jpg', '../images/Acer saccharinum/twig1.jpg', '../images/Acer saccharinum/bark1.jpg', '../images/Acer saccharinum/form1.jpg', '../images/Acer saccharinum/map.jpg', '../images/Acer saccharinum/map.pdf', '../images/Acer saccharinum/fall.jpg', '../images/Acer saccharinum/wood.jpg']","Opposite, simple with 5 deeply palmate sinuses, lobe margins coarsely serrate, 2 1/2 to 5 inches long; light green above, pale, silvery white below.",Species is monoecious; greenish to reddish flowers appear in dense clusters in early spring long before leaves.,"Samara, largest of any native maple, divergent wings 1 1/2 to 2 1/2 inches long, germinate as soon as released, mature in late spring.","Similar to red maple but stouter and often more chestnut-brown in color, unpleasant odor when crushed; buds reddish brown with large scales, flower buds often in conspicuous dense clusters.","Light gray and smooth when young, when older breaks up into long thin strips, loose at ends.","Can become quite a large tree reaching over 100 feet tall, trunk usually short, dividing into several subtrunks.",Aceraceae,Acer,ACSA2,Acer saccharinum is native to North America. Range may be expanded by planting.,Magnoliopsida,,Sapindales,Sapindaceae,Acer,Acer saccharinum,,,28757.0,Rosanae,,,,,,,,,,,,,,
9,,,,,,,,,,,Acer saccharum,,9,http://dendro.cnre.vt.edu/dendrology/syllabus/factsheet.cfm?ID=2,sugar maple,edible,"syrup, timber",,,"[['red maple', 'factsheet.cfm?ID=1'], ['black maple', 'factsheet.cfm?ID=452'], ['Norway maple', 'factsheet.cfm?ID=6'], ['Florida maple', 'factsheet.cfm?ID=337']]","['../images/Acer saccharum/latin.wav', '../images/Acer saccharum/leaf1.jpg', '../images/Acer saccharum/flower1.jpg', '../images/Acer saccharum/fruit1.jpg', '../images/Acer saccharum/twig1.jpg', '../images/Acer saccharum/bark1.jpg', '../images/Acer saccharum/form1.jpg', '../images/Acer saccharum/map.jpg', '../images/Acer saccharum/map.pdf', '../images/Acer saccharum/fall.jpg', '../images/Acer saccharum/wood.jpg']","Opposite, simple and palmately veined, 3 to 6 inches long, 5 delicately rounded lobes, entire margin; green above, paler below.","Light yellow-green, small, clustered, hanging from a long, slender (1 to 3 inch) stem, appearing with or slightly before the leaves in early spring.","Two-winged horseshoe-shaped samaras about 1 inch long, appearing in clusters, brown when mature in in the fall.","Brown, slender and shiny with lighter lenticels; terminal buds brown, very sharp pointed, with tight scales.","Variable, but generally brown, on older trees it becomes darker, develops furrows, with long, thick irregular curling outward, firm ridges.",Medium to tall tree (to 100 feet) with very dense elliptical crown.,Aceraceae,Acer,ACSA3,Acer saccharum is native to North America. Range may be expanded by planting.,Magnoliopsida,,Sapindales,Sapindaceae,Acer,Acer saccharum,Acer saccharum var. saccharum,Acer saccharum var. schneckii,28731.0,Rosanae,,,,,,,,,,,,,,
